date,yearwk,Crest,Colgate,pulse.ADA,step.ADA
1958-01-01,1958,0.108,0.424,0,0
1958-01-08,1958.0192307692307,0.166,0.482,0,0
1958-01-15,1958.0384615384614,0.126,0.428,0,0
1958-01-22,1958.0576923076924,0.115,0.397,0,0
1958-01-29,1958.076923076923,0.119,0.352,0,0
1958-02-05,1958.0961538461538,0.176,0.342,0,0
1958-02-12,1958.1153846153845,0.155,0.434,0,0
1958-02-19,1958.1346153846155,0.118,0.445,0,0
1958-02-26,1958.1538461538462,0.136,0.428,0,0
1958-03-05,1958.173076923077,0.137,0.395,0,0
1958-03-12,1958.1923076923076,0.124,0.354,0,0
1958-03-19,1958.2115384615386,0.131,0.497,0,0
1958-03-26,1958.2307692307693,0.12,0.425,0,0
1958-04-02,1958.25,0.133,0.401,0,0
1958-04-09,1958.2692307692307,0.067,0.363,0,0
1958-04-16,1958.2884615384614,0.086,0.341,0,0
1958-04-23,1958.3076923076924,0.14,0.464,0,0
1958-04-30,1958.326923076923,0.122,0.431,0,0
1958-05-07,1958.3461538461538,0.105,0.405,0,0
1958-05-14,1958.3653846153845,0.079,0.46,0,0
1958-05-21,1958.3846153846155,0.13,0.41,0,0
1958-05-28,1958.4038461538462,0.142,0.423,0,0
1958-06-04,1958.423076923077,0.12,0.31,0,0
1958-06-11,1958.4423076923076,0.115,0.413,0,0
1958-06-18,1958.4615384615386,0.103,0.411,0,0
1958-06-25,1958.4807692307693,0.078,0.452,0,0
1958-07-02,1958.5,0.093,0.405,0,0
1958-07-09,1958.5192307692307,0.086,0.29,0,0
1958-07-16,1958.5384615384614,0.099,0.342,0,0
1958-07-23,1958.5576923076924,0.078,0.311,0,0
1958-07-30,1958.576923076923,0.095,0.327,0,0
1958-08-06,1958.5961538461538,0.094,0.413,0,0
1958-08-13,1958.6153846153845,0.056,0.4,0,0
1958-08-20,1958.6346153846155,0.05,0.38,0,0
1958-08-27,1958.6538461538462,0.065,0.371,0,0
1958-09-03,1958.673076923077,0.091,0.344,0,0
1958-09-10,1958.6923076923076,0.094,0.345,0,0
1958-09-17,1958.7115384615386,0.124,0.363,0,0
1958-09-24,1958.7307692307693,0.153,0.392,0,0
1958-10-01,1958.75,0.078,0.379,0,0
1958-10-08,1958.7692307692307,0.114,0.349,0,0
1958-10-15,1958.7884615384614,0.088,0.337,0,0
1958-10-22,1958.8076923076924,0.165,0.235,0,0
1958-10-29,1958.826923076923,0.16,0.25,0,0
1958-11-05,1958.8461538461538,0.075,0.36,0,0
1958-11-12,1958.8653846153845,0.118,0.282,0,0
1958-11-19,1958.8846153846155,0.1,0.257,0,0
1958-11-26,1958.9038461538462,0.102,0.345,0,0
1958-12-03,1958.923076923077,0.131,0.344,0,0
1958-12-10,1958.9423076923076,0.148,0.358,0,0
1958-12-17,1958.9615384615386,0.137,0.322,0,0
1958-12-24,1958.9807692307693,0.09,0.332,0,0
1959-01-01,1959,0.088,0.315,0,0
1959-01-08,1959.0192307692307,0.172,0.316,0,0
1959-01-15,1959.0384615384614,0.111,0.341,0,0
1959-01-22,1959.0576923076924,0.097,0.387,0,0
1959-01-29,1959.076923076923,0.098,0.402,0,0
1959-02-05,1959.0961538461538,0.09,0.347,0,0
1959-02-12,1959.1153846153845,0.127,0.414,0,0
1959-02-19,1959.1346153846155,0.116,0.426,0,0
1959-02-26,1959.1538461538462,0.137,0.322,0,0
1959-03-05,1959.173076923077,0.111,0.372,0,0
1959-03-12,1959.1923076923076,0.107,0.381,0,0
1959-03-19,1959.2115384615386,0.097,0.339,0,0
1959-03-26,1959.2307692307693,0.134,0.405,0,0
1959-04-02,1959.25,0.16,0.304,0,0
1959-04-09,1959.2692307692307,0.147,0.439,0,0
1959-04-16,1959.2884615384614,0.104,0.336,0,0
1959-04-23,1959.3076923076924,0.128,0.405,0,0
1959-04-30,1959.326923076923,0.128,0.359,0,0
1959-05-07,1959.3461538461538,0.165,0.379,0,0
1959-05-14,1959.3653846153845,0.184,0.303,0,0
1959-05-21,1959.3846153846155,0.172,0.34,0,0
1959-05-28,1959.4038461538462,0.207,0.312,0,0
1959-06-04,1959.423076923077,0.221,0.291,0,0
1959-06-11,1959.4423076923076,0.159,0.259,0,0
1959-06-18,1959.4615384615386,0.198,0.342,0,0
1959-06-25,1959.4807692307693,0.197,0.458,0,0
1959-07-02,1959.5,0.251,0.275,0,0
1959-07-09,1959.5192307692307,0.146,0.34,0,0
1959-07-16,1959.5384615384614,0.133,0.385,0,0
1959-07-23,1959.5576923076924,0.243,0.338,0,0
1959-07-30,1959.576923076923,0.192,0.37,0,0
1959-08-06,1959.5961538461538,0.15,0.29,0,0
1959-08-13,1959.6153846153845,0.221,0.325,0,0
1959-08-20,1959.6346153846155,0.183,0.337,0,0
1959-08-27,1959.6538461538462,0.136,0.338,0,0
1959-09-03,1959.673076923077,0.206,0.323,0,0
1959-09-10,1959.6923076923076,0.127,0.357,0,0
1959-09-17,1959.7115384615386,0.139,0.381,0,0
1959-09-24,1959.7307692307693,0.189,0.371,0,0
1959-10-01,1959.75,0.194,0.294,0,0
1959-10-08,1959.7692307692307,0.114,0.384,0,0
1959-10-15,1959.7884615384614,0.229,0.286,0,0
1959-10-22,1959.8076923076924,0.148,0.335,0,0
1959-10-29,1959.826923076923,0.155,0.31,0,0
1959-11-05,1959.8461538461538,0.106,0.304,0,0
1959-11-12,1959.8653846153845,0.156,0.305,0,0
1959-11-19,1959.8846153846155,0.053,0.403,0,0
1959-11-26,1959.9038461538462,0.112,0.365,0,0
1959-12-03,1959.923076923077,0.084,0.305,0,0
1959-12-10,1959.9423076923076,0.191,0.172,0,0
1959-12-17,1959.9615384615386,0.149,0.321,0,0
1959-12-24,1959.9807692307693,0.143,0.343,0,0
1960-01-01,1960,0.094,0.354,0,0
1960-01-08,1960.0192307692307,0.184,0.316,0,0
1960-01-15,1960.0384615384614,0.205,0.292,0,0
